title,roaster,score,Roaster Location,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,coffee_name,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,is_blend,Est. Price USD,Latitude,Longitude,January_Avg_Temp,January_Precipitation,July_Avg_Temp,July_Precipitation,Est. Price USD_per_ounce,whole-bean_Agtron,ground-bean_Agtron,Roast Level_Dark,Roast Level_Light,Roast Level_Medium,Roast Level_Medium-Dark,Roast Level_Medium-Light
Wilton Benitez Colombia Yellow Bourbon,JBC Coffee Roasters,96,"Madison, Wisconsin",2025-02-01,9.0,9.0,9,10,9.0,Wilton Benitez Colombia Yellow Bourbon,0,0,0,0,0,0,22.00/8 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,2.75,63.0,88.0,False,True,False,False,False
Colombia Chachagüí Mild Roast,Rusty Dog Coffee,93,"Madison, Wisconsin",2025-02-01,9.0,8.0,9,9,8.0,Colombia Chachagüí Mild Roast,0,0,0,0,0,0,21.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.75,59.0,77.0,False,False,False,False,True
Colombia Chachagüí Mild Roast,Rusty Dog Coffee,93,"Madison, Wisconsin",2025-02-01,9.0,8.0,9,9,8.0,Colombia Chachagüí Mild Roast,0,0,0,0,0,0,21.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.75,59.0,77.0,False,False,False,False,True
Murundo People’s Farm Rwanda,JBC Coffee Roasters,93,"Madison, Wisconsin",2025-02-01,9.0,8.0,9,9,8.0,Murundo People’s Farm Rwanda,1,0,0,0,0,0,20.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.67,57.0,79.0,False,False,False,False,True
Murundo People’s Farm Rwanda,JBC Coffee Roasters,93,"Madison, Wisconsin",2025-02-01,9.0,8.0,9,9,8.0,Murundo People’s Farm Rwanda,1,0,0,0,0,0,20.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.67,57.0,79.0,False,False,False,False,True
Sochiapam Mexico,JBC Coffee Roasters,93,"Madison, Wisconsin",2025-02-01,9.0,8.0,9,9,8.0,Sochiapam Mexico,0,0,1,0,0,0,21.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.75,59.0,77.0,False,False,False,False,True
Kenya Kirinyaga,Red Rooster Coffee Roaster,95,"Floyd, Virginia",2025-02-01,9.0,9.0,9,9,9.0,Kenya Kirinyaga,1,0,0,0,0,0,25.00/12 ounces,36.9157056,-80.3876889,9.8,0.1,23.6,0.0,2.08,60.0,82.0,False,True,False,False,False
Costa Rica San Diego,Utopian Coffee,94,"Fort Wayne, Indiana",2025-02-01,9.0,8.0,9,9,9.0,Costa Rica San Diego,0,0,1,0,0,0,22.00/12 ounces,41.0799898,-85.1386015,4.1,0.0,24.0,5.8,1.83,57.0,77.0,False,False,False,False,True
Costa Rica La Candelilla Geisha,Red Rooster Coffee Roaster,94,"Floyd, Virginia",2025-02-01,9.0,9.0,9,9,8.0,Costa Rica La Candelilla Geisha,0,0,1,0,0,0,35.00/12 ounces,36.9157056,-80.3876889,9.8,0.1,23.6,0.0,2.92,62.0,84.0,False,True,False,False,False
Guatemala Santa Ana Dilla Alghe Washed,PT's Coffee Roasting Co.,93,"Topeka, Kansas",2025-02-01,9.0,8.0,9,9,8.0,Guatemala Santa Ana Dilla Alghe Washed,0,0,1,0,0,0,30.00/12 ounces,39.049011,-95.677556,4.2,0.0,25.4,9.0,2.5,58.0,77.0,False,False,False,False,True
Ethiopia Agaro Duromina,Jaunt Coffee Roasters,94,"San Diego, California",2025-02-01,9.0,9.0,9,9,8.0,Ethiopia Agaro Duromina,1,0,0,0,0,0,22.00/12 ounces,32.7174202,-117.162772,14.1,24.0,18.9,0.0,1.83,59.0,79.0,False,False,False,False,True
Panama Renaissance Series Flora Geisha Washed,Coffeebox Coffee,94,"Taipei, Taiwan",2025-02-01,9.0,9.0,8,9,9.0,Panama Renaissance Series Flora Geisha Washed,0,0,1,0,0,0,24.00/227 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,0.85,68.0,94.0,False,True,False,False,False
Costa Rica Tarrazu,Jaunt Coffee Roasters,93,"San Diego, California",2025-02-01,9.0,8.0,9,9,8.0,Costa Rica Tarrazu,0,0,1,0,0,0,22.00/12 ounces,32.7174202,-117.162772,14.1,24.0,18.9,0.0,1.83,58.0,80.0,False,False,False,False,True
Kenya Embu Gicherori PB Washed,Coffeebox Coffee,93,"Taipei, Taiwan",2025-02-01,9.0,9.0,8,9,8.0,Kenya Embu Gicherori PB Washed,1,0,0,0,0,0,11.70/227 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,0.41,72.0,94.0,False,True,False,False,False
The Secret of Colombia,Coffeebox Coffee,92,"Taipei, Taiwan",2025-02-01,9.0,9.0,8,9,7.0,The Secret of Colombia,0,0,1,0,0,1,11.70/227 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,0.41,70.0,91.0,False,True,False,False,False
Ethiopia Coffee Lamp Series Worka Natural G1,Coffeebox Coffee,92,"Taipei, Taiwan",2025-02-01,8.0,8.0,9,9,8.0,Ethiopia Coffee Lamp Series Worka Natural G1,1,0,0,0,0,0,11.40/227 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,0.4,62.0,86.0,False,True,False,False,False
Guatemala La Minita La Flor Peaberry Washed,Coffeebox Coffee,91,"Taipei, Taiwan",2025-02-01,8.0,8.0,8,9,8.0,Guatemala La Minita La Flor Peaberry Washed,0,0,1,0,0,0,9.60/227 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,0.34,54.0,70.0,False,False,False,False,True
Colombia San Martin Bourbon Aji Star Fruit Peach Honey,GK Coffee,95,"Yilan, Taiwan",2025-02-01,9.0,9.0,9,9,9.0,Colombia San Martin Bourbon Aji Star Fruit Peach Honey,0,0,0,0,0,0,19.50/200 grams,24.7519538,121.7533344,18.7,30.0,27.9,1.3,0.69,64.0,88.0,False,True,False,False,False
Taiwan COE #3 Alishan Zhou Zhu Yuan Geisha Natural,GK Coffee,94,"Yilan, Taiwan",2025-02-01,9.0,9.0,9,9,8.0,Taiwan COE #3 Alishan Zhou Zhu Yuan Geisha Natural,0,0,0,0,1,0,81.00/100 grams,24.7519538,121.7533344,18.7,30.0,27.9,1.3,2.86,62.0,80.0,False,True,False,False,False
Taiwan COE#9 Alishan Zhuo Wu Farm Geisha Honey,GK Coffee,92,"Yilan, Taiwan",2025-02-01,8.0,9.0,9,9,7.0,Taiwan COE#9 Alishan Zhuo Wu Farm Geisha Honey,0,0,0,0,1,0,54.00/100 grams,24.7519538,121.7533344,18.7,30.0,27.9,1.3,1.9,62.0,82.0,False,True,False,False,False
Las Margaritas Colombia Sudan Rume Natural,JBC Coffee Roasters,95,"Madison, Wisconsin",2025-02-01,9.0,9.0,9,9,9.0,Las Margaritas Colombia Sudan Rume Natural,0,0,0,0,0,0,25.00/8 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,3.12,62.0,86.0,False,True,False,False,False
Yabitu Koba Ethiopia,JBC Coffee Roasters,95,"Madison, Wisconsin",2025-02-01,9.0,,9,9,9.0,Yabitu Koba Ethiopia,1,0,0,0,0,0,23.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.92,58.0,78.0,False,False,False,False,True
Yabitu Koba Ethiopia,JBC Coffee Roasters,95,"Madison, Wisconsin",2025-02-01,9.0,,9,9,9.0,Yabitu Koba Ethiopia,1,0,0,0,0,0,23.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.92,58.0,78.0,False,False,False,False,True
Pantan Musara Sumatra,JBC Coffee Roasters,94,"Madison, Wisconsin",2025-02-01,9.0,8.0,9,9,9.0,Pantan Musara Sumatra,0,0,0,0,1,0,23.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.92,57.0,80.0,False,False,False,False,True
Pantan Musara Sumatra,JBC Coffee Roasters,94,"Madison, Wisconsin",2025-02-01,9.0,8.0,9,9,9.0,Pantan Musara Sumatra,0,0,0,0,1,0,23.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.92,57.0,80.0,False,False,False,False,True
Pantan Musara Sumatra,JBC Coffee Roasters,94,"Madison, Wisconsin",2025-02-01,9.0,8.0,9,9,9.0,Pantan Musara Sumatra,0,0,0,0,1,0,23.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.92,57.0,80.0,False,False,False,False,True
Pantan Musara Sumatra,JBC Coffee Roasters,94,"Madison, Wisconsin",2025-02-01,9.0,8.0,9,9,9.0,Pantan Musara Sumatra,0,0,0,0,1,0,23.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.92,57.0,80.0,False,False,False,False,True
Ethiopia Yirgacheffe Misty Valley Aricha Washed G1,Buon Caffe,94,"Taipei, Taiwan",2025-02-01,9.0,9.0,9,9,8.0,Ethiopia Yirgacheffe Misty Valley Aricha Washed G1,1,0,0,0,0,0,10.17/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,1.27,65.0,93.0,False,True,False,False,False
Kenya Kirinyaga Karimikui Factory AA TOP Washed,Buon Caffe,93,"Taipei, Taiwan",2025-02-01,8.0,9.0,9,9,8.0,Kenya Kirinyaga Karimikui Factory AA TOP Washed,1,0,0,0,0,0,11.97/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,1.5,62.0,82.0,False,True,False,False,False
Ethiopia Guji Uraga Raro Washed G1,Buon Caffe,93,"Taipei, Taiwan",2025-02-01,9.0,9.0,8,9,8.0,Ethiopia Guji Uraga Raro Washed G1,1,0,0,0,0,0,9.87/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,1.23,68.0,90.0,False,True,False,False,False
Dembi Ethiopia Natural,JBC Coffee Roasters,93,"Madison, Wisconsin",2025-02-01,9.0,8.0,9,9,8.0,Dembi Ethiopia Natural,1,0,0,0,0,0,22.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.83,60.0,77.0,False,False,False,False,True
Ethiopia Sidamo Assefa 74110 Natural,Buon Caffe,93,"Taipei, Taiwan",2025-02-01,9.0,8.0,9,9,8.0,Ethiopia Sidamo Assefa 74110 Natural,1,0,0,0,0,0,10.47/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,1.31,66.0,89.0,False,True,False,False,False
