title,roaster,score,Roaster Location,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,coffee_name,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,is_blend,Est. Price USD,Latitude,Longitude,January_Avg_Temp,January_Precipitation,July_Avg_Temp,July_Precipitation,Est. Price USD_per_ounce,region,whole-bean_Agtron,ground-bean_Agtron,Roast Level_Dark,Roast Level_Light,Roast Level_Medium,Roast Level_Medium-Dark,Roast Level_Medium-Light
Ka‘ū Lactic Natural,Paradise Roasters,95,"Minneapolis, Minnesota",2022-05-01,9.0,9.0,9,9,9.0,Ka‘ū Lactic Natural,0,0,0,1,0,0,30.00/4 ounces,1.091385896617402,-0.5052689623552579,-1.2703861268782117,-0.5291159027084525,0.034434229393847646,-0.9352567622732032,0.8542816306959365,hawaii,60.0,77.0,0,0,0,0,1
Zambia Kateshi,Side By Each Brewing Co.,91,"Auburn, Maine",2024-07-01,8.0,9.0,8,9,7.0,Zambia Kateshi,0,0,0,0,0,0,18.50/16 ounces,1.003134206812642,-0.27102821455314524,-0.278402292609836,-0.04662334047325719,-1.1012267147896382,-0.8718481637453797,-0.29192653774487864,,62.0,98.0,0,1,0,0,0
Honduras Finca Las Moras Parainema Yellow Honey,RamsHead Coffee Roasters,93,"Bozeman, Montana",2021-10-01,9.0,8.0,9,9,8.0,Honduras Finca Las Moras Parainema Yellow Honey,0,0,1,0,0,0,16.95/12 ounces,1.1618550118186055,-0.6860634906928479,-1.8817250014854663,-0.5291159027084525,-1.2596910325826831,-0.9352567622732032,-0.24672905476219667,central_america,58.0,76.0,0,0,0,0,1
Laura’s Reserve SL34,Hula Daddy Kona Coffee,96,"Holualoa, Hawai’i",2021-11-01,9.0,9.0,9,10,9.0,Laura’s Reserve SL34,0,0,0,1,0,0,62.95/8 ounces,-1.4526439135404228,-1.1423856056152761,0.9327407608573667,-0.5160755631885824,-1.4445660700079015,1.0938183906171468,0.9211739055103061,hawaii,60.0,78.0,0,0,0,0,1
Kona Classic Black Rock Farm,Paradise Roasters,94,"Minneapolis, Minnesota",2020-06-01,9.0,9.0,9,9,8.0,Kona Classic Black Rock Farm,0,0,0,1,0,0,18.95/4 ounces,1.091385896617402,-0.5052689623552579,-1.2703861268782117,-0.5291159027084525,0.034434229393847646,-0.9352567622732032,0.3553014185671275,hawaii,52.0,68.0,0,0,1,0,0
Nsoga Iweyza Tanzania,JBC Coffee Roasters,95,"Madison, Wisconsin",2024-08-01,9.0,9.0,9,9,9.0,Nsoga Iweyza Tanzania,1,0,0,0,0,0,24.00/8 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,0.0407269370076608,africa_arabia,57.0,77.0,0,0,0,0,1
Panama Abu Geisha Lot 6,Willoughby's Coffee & Tea,95,Branford Connecticut,2021-12-01,9.0,9.0,9,9,9.0,Panama Abu Geisha Lot 6,0,0,1,0,0,0,75.00/12 ounces,0.7202611536780154,-0.29730434930743804,-0.02463898616908872,0.7227566911990813,-0.5201908828818085,-0.9352567622732032,0.6282942157825266,central_america,58.0,80.0,0,0,0,0,1
Ethiopia Uraga Washed G1,RamsHead Coffee Roasters,94,"Bozeman, Montana",2021-05-01,9.0,9.0,9,9,8.0,Ethiopia Uraga Washed G1,1,0,0,0,0,0,17.95/12 ounces,1.1618550118186055,-0.6860634906928479,-1.8817250014854663,-0.5291159027084525,-1.2596910325826831,-0.9352567622732032,-0.23045796088843112,africa_arabia,58.0,78.0,0,0,0,0,1
Ethiopia Duromina Agaro Gera,SkyTop Coffee,93,"Manlius, New York",2020-08-01,9.0,9.0,8,9,8.0,Ethiopia Duromina Agaro Gera,1,0,0,0,0,0,15.00/12 ounces,0.893136436185945,-0.3294570721947058,-0.40528394583020966,-0.22918809375143925,-0.018387209870501277,1.0938183906171468,-0.2756554438711131,africa_arabia,60.0,78.0,0,0,0,0,1
Ethiopia Koke Honey,Utopian Coffee,93,"Fort Wayne, Indiana",2023-12-01,9.0,9.0,8,9,8.0,Ethiopia Koke Honey,1,0,0,0,0,0,23.00/12 ounces,0.7002331977516547,-0.42262493822620206,-0.57830438203981,-0.5291159027084525,0.008023509761673183,0.9035925950336764,-0.15452618947752542,africa_arabia,64.0,82.0,0,1,0,0,0
Ethiopia Washed Shantawene,SkyTop Coffee,94,"Manlius, New York",2022-03-01,9.0,9.0,9,9,8.0,Ethiopia Washed Shantawene,1,0,0,0,0,0,20.00/12 ounces,0.893136436185945,-0.3294570721947058,-0.40528394583020966,-0.22918809375143925,-0.018387209870501277,1.0938183906171468,-0.1997236724602074,africa_arabia,60.0,78.0,0,0,0,0,1
Colombia Fruit Loops Gesha Washed,Coffee Bros.,94,"Long Island City, New York",2024-09-01,9.0,9.0,9,9,8.0,Colombia Fruit Loops Gesha Washed,0,0,0,0,0,0,37.99/6 ounces,0.666665368233826,-0.3088301658941024,0.10224266705128486,0.4097885427221979,-0.44095872398528607,-0.9352567622732032,0.6427574103369849,,65.0,89.0,0,1,0,0,0
DRC Katana Natural,Utopian Coffee,93,"Fort Wayne, Indiana",2024-02-01,9.0,8.0,9,9,8.0,DRC Katana Natural,1,0,0,0,0,0,19.00/12 ounces,0.7002331977516547,-0.42262493822620206,-0.57830438203981,-0.5291159027084525,0.008023509761673183,0.9035925950336764,-0.21599476633397288,africa_arabia,62.0,82.0,0,1,0,0,0
Kona Mocca®,Hula Daddy Kona Coffee,96,"Holualoa, Hawai’i",2021-04-01,9.0,9.0,9,10,9.0,Kona Mocca®,0,0,0,1,0,0,87.50/8 ounces,-1.4526439135404228,-1.1423856056152761,0.9327407608573667,-0.5160755631885824,-1.4445660700079015,1.0938183906171468,1.4761989965376405,hawaii,56.0,74.0,0,0,0,0,1
Kenya Kirinyaga County Gikirima Factory TOP PB,Coffeebox Coffee,94,"Taipei, Taiwan",2024-01-01,9.0,9.0,9,9,8.0,Kenya Kirinyaga County Gikirima Factory TOP PB,1,0,0,0,0,0,7.20/227 grams,-0.909866055323559,1.6793790487169182,1.117295892814274,-0.46391420510910186,1.2757380521060295,2.07665166779841,-0.4564453758018411,africa_arabia,60.0,78.0,0,0,0,0,1
Colombia Hacienda La Pradera Mokka,SkyTop Coffee,94,"Manlius, New York",2025-01-01,9.0,9.0,9,9,8.0,Colombia Hacienda La Pradera Mokka,0,0,0,0,0,0,42.00/12 ounces,0.893136436185945,-0.3294570721947058,-0.40528394583020966,-0.22918809375143925,-0.018387209870501277,1.0938183906171468,0.13112190297302478,,64.0,88.0,0,1,0,0,0
Rwanda Buhuro COOPAC,Intuition Coffee,93,"Peoria, Illinois",2024-05-01,9.0,8.0,9,9,8.0,Rwanda Buhuro COOPAC,1,0,0,0,0,0,21.00/12 ounces,0.6614794488912387,-0.4678831096537431,-0.4744921203140498,-0.22918809375143925,0.16648782755471808,1.2206355876727935,-0.18526047790574915,africa_arabia,60.0,79.0,0,0,0,0,1
Colombia El Roble Chiroso Washed,GK Coffee,94,"Yilan, Taiwan",2023-10-01,9.0,9.0,9,9,8.0,Colombia El Roble Chiroso Washed,0,0,0,0,0,0,19.50/200 grams,-0.9385268290886759,1.6813076928693744,1.1057611970669672,3.382985953252591,1.038041575416462,-0.5231008718423509,-0.3768978057523208,,58.0,78.0,0,0,0,0,1
Nyeri Hill Kenya,JBC Coffee Roasters,94,"Madison, Wisconsin",2023-12-01,9.0,9.0,9,9,8.0,Nyeri Hill Kenya,1,0,0,0,0,0,22.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.1707972833512909,africa_arabia,56.0,74.0,0,0,0,0,1
Kona Mocca®,Hula Daddy Kona Coffee,96,"Holualoa, Hawai’i",2020-11-01,10.0,9.0,9,10,8.0,Kona Mocca®,0,0,0,1,0,0,74.95/8 ounces,-1.4526439135404228,-1.1423856056152761,0.9327407608573667,-0.5160755631885824,-1.4445660700079015,1.0938183906171468,1.1923588034063977,hawaii,52.0,70.0,0,0,0,0,1
Guatemala El Injerto Pacamara,Equator Coffees,93,"San Rafael, California",2021-09-01,9.0,8.0,9,9,8.0,Guatemala El Injerto Pacamara,0,0,1,0,0,0,19.00/6 ounces,0.3885793947729697,-0.8028838096326854,0.13684675429320503,0.10986073376518457,-0.30890512582441565,-0.9352567622732032,0.07146122543588454,central_america,57.0,74.0,0,0,0,0,1
Ethiopia Kayon Mountain,Roadmap CoffeeWorks,94,"Lexington, Virginia",2023-02-01,9.0,9.0,9,9,8.0,Ethiopia Kayon Mountain,1,0,0,0,0,0,20.95/12 ounces,0.3694339364746158,-0.3647031562475028,-0.11691655214754235,-0.3204704703905302,0.16648782755471808,-0.840143864481468,-0.18526047790574915,africa_arabia,64.0,82.0,0,1,0,0,0
Medina Natural,JBC Coffee Roasters,93,"Madison, Wisconsin",2021-08-01,9.0,8.0,9,9,8.0,Medina Natural,0,0,1,0,0,0,20.50/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.19249207518297826,central_america,58.0,76.0,0,0,0,0,1
Mexico Nyarita Canela,Mostra Coffee,92,"San Diego, California",2022-09-01,8.0,8.0,9,9,8.0,Mexico Nyarita Canela,0,0,1,0,0,0,25.00/14 ounces,-0.1390744067973635,-0.7482862406139593,0.5751651926908593,2.6005655820603826,-1.3389231914792055,-0.9352567622732032,-0.17802888062852001,central_america,60.0,78.0,0,0,0,0,1
Ethiopia Natural Guji Morel Floral Kudume,Bargain Cafe,92,"Taitung, Taiwan",2022-10-01,9.0,9.0,8,9,7.0,Ethiopia Natural Guji Morel Floral Kudume,1,0,0,0,0,0,8.25/8 ounces,-1.1389138890868935,1.6751783453598768,1.336455112013101,0.018578357126093535,0.9852201361521141,0.9670011935614998,-0.31542922889587327,africa_arabia,63.0,87.0,0,1,0,0,0
Colombia El Jardin Anaerobic Natural,Durango Coffee Company,94,"Durango, Colorado",2024-07-01,9.0,9.0,9,9,8.0,Colombia El Jardin Anaerobic Natural,0,0,0,0,0,0,20.95/12 ounces,0.31854171772681367,-0.6538529790961713,-0.8205329927332506,0.2011431104042755,-1.2596910325826831,-0.9352567622732032,-0.18526047790574915,,59.0,81.0,0,0,0,0,1
Costa Rica Las Lajas Red Honey,Durango Coffee Company,93,"Durango, Colorado",2021-01-01,9.0,8.0,9,9,8.0,Costa Rica Las Lajas Red Honey,0,0,1,0,0,0,15.95/12 ounces,0.31854171772681367,-0.6538529790961713,-0.8205329927332506,0.2011431104042755,-1.2596910325826831,-0.9352567622732032,-0.26119224931665486,central_america,54.0,70.0,0,0,0,0,1
Ethiopia Yirgacheffe Washed Banko Gotiti 3,Kakalove Cafe,94,"Chia-Yi, Taiwan",2021-10-01,9.0,9.0,9,9,8.0,Ethiopia Yirgacheffe Washed Banko Gotiti 3,1,0,0,0,0,0,8.25/8 ounces,-1.0660749201410167,1.66808979089915,1.0250183268358204,-0.3204704703905302,1.249327332473855,-0.396283674786704,-0.31542922889587327,africa_arabia,58.0,80.0,0,0,0,0,1
5a Poniente,El Gran Cafe,91,"Antigua, Guatemala",2022-11-01,8.0,8.0,8,9,8.0,5a Poniente,0,0,1,0,0,0,5.00/12 ounces,-1.961763242571951,-0.479523159286412,1.0826918055723538,-0.5291159027084525,-1.1540481540539862,-0.30117077699496886,-0.42571108737361735,central_america,52.0,76.0,0,0,0,0,1
Colombia Finca El Paraiso Rose Tea,GK Coffee,94,"Yilan, Taiwan",2023-03-01,9.0,9.0,9,9,8.0,Colombia Finca El Paraiso Rose Tea,0,0,0,0,0,0,15.00/100 grams,-0.9385268290886759,1.6813076928693744,1.1057611970669672,3.382985953252591,1.038041575416462,-0.5231008718423509,-0.4058241948612373,,64.0,88.0,0,1,0,0,0
Ethiopia Oromi Guji Hamela Wamena Tirtira Goyo Natural G1,Dou Zhai Coffee & Roastery,95,"Taichung, Taiwan",2024-09-01,9.0,9.0,9,9,9.0,Ethiopia Oromi Guji Hamela Wamena Tirtira Goyo Natural G1,1,0,0,0,0,0,14.40/8 ounces,-0.9976207988699384,1.6700655409800775,1.0596224140777404,0.12290107328505467,0.9588094165199407,2.140060266326233,-0.17622098130921274,africa_arabia,66.0,88.0,0,1,0,0,0
Kenya Giakanja,Temple Coffee Roasters,92,"Sacramento, California",2020-10-01,9.0,8.0,8,9,8.0,Kenya Giakanja,1,0,0,0,0,0,23.50/12 ounces,0.449428674607286,-0.7923304464422278,0.15991614578781832,2.1441536988649275,1.6983095662208143,-0.9352567622732032,-0.14729459220029628,africa_arabia,55.0,72.0,0,0,0,0,1
Guatemala El Socorro Laurina,Willoughby's Coffee & Tea,91,"Branford, Connecticut",2024-10-01,9.0,8.0,8,9,7.0,Guatemala El Socorro Laurina,0,0,1,0,0,0,22.50/12 ounces,0.7202611536780154,-0.29730434930743804,-0.02463898616908872,0.7227566911990813,-0.5201908828818085,-0.9352567622732032,-0.16175778675475452,central_america,61.0,84.0,0,1,0,0,0
Kona Maragogype,Rusty's Hawaiian,93,"Pahala, Hawaii",2020-06-01,9.0,8.0,9,9,8.0,Kona Maragogype,0,0,0,1,0,0,35.00/7 ounces,-1.4955022965792355,-1.1379161318635107,1.3479898077604078,2.43104116830207,-0.6258337614105045,1.7596086751592925,0.4023068008691167,hawaii,52.0,68.0,0,0,1,0,0
La Soledad Colombia,JBC Coffee Roasters,94,"Madison, Wisconsin",2021-05-01,9.0,9.0,9,9,8.0,La Soledad Colombia,0,0,0,0,0,0,18.00/8 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.09486551194038517,,58.0,80.0,0,0,0,0,1
Colombia Villa Betulia CM Sidra,Corvus Coffee,96,"Denver, Colorado",2024-12-01,9.0,9.0,9,10,9.0,Colombia Villa Betulia CM Sidra,0,0,0,0,0,0,46.00/8 ounces,0.5656687542527391,-0.6244462169992683,-1.558753520560879,-0.5291159027084525,-1.6030303878009464,-0.9352567622732032,0.5378992498171626,,60.0,84.0,0,1,0,0,0
Colombia Antioqiua,Jaunt Coffee Roasters,91,"San Diego, California",2020-10-01,8.0,8.0,8,9,8.0,Colombia Antioqiua,0,0,0,0,0,0,23.00/12 ounces,-0.1390744067973635,-0.7482862406139593,0.5751651926908593,2.6005655820603826,-1.3389231914792055,-0.9352567622732032,-0.15452618947752542,,56.0,76.0,0,0,0,0,1
Kenya AA Top Gicherori,GK Coffee,93,"Yilan, Taiwan",2024-02-01,9.0,8.0,9,9,8.0,Kenya AA Top Gicherori,1,0,0,0,0,0,16.50/200 grams,-0.9385268290886759,1.6813076928693744,1.1057611970669672,3.382985953252591,1.038041575416462,-0.5231008718423509,-0.39678469826470086,africa_arabia,44.0,62.0,0,0,1,0,0
Testi Ayla Double Ethiopia,Barrington Coffee Roasting,97,"Lee, Massachusetts",2021-08-01,9.0,10.0,9,10,9.0,Testi Ayla Double Ethiopia,1,0,0,0,0,0,54.95/12 ounces,0.8234167248547731,-0.3017319547282084,-0.31300637985175606,0.2011431104042755,-0.5201908828818085,-0.9352567622732032,0.326375029458211,africa_arabia,64.0,86.0,0,1,0,0,0
