coffee_name,coffee_review_url,coffee_brand_url,coffee_web_name
Kenya AA Aries Return Espresso,https://www.coffeereview.com/review/kenya-aa-aries-return-espresso/,https://www.facebook.com/4ArtsZeroDefectCoffees,kenya-aa-aries-return-espresso
Kenya All’s Well Peaberry Espresso,https://www.coffeereview.com/review/kenya-alls-well-peaberry-espresso/,https://www.facebook.com/4ArtsZeroDefectCoffees,kenya-alls-well-peaberry-espresso
Espresso No. 6 Finca San José Ocaña,https://www.coffeereview.com/review/espresso-no-6-finca-san-jose-ocana/,https://elgran.cafe/,espresso-no-6-finca-san-jose-ocana
Guatemala Finca Santa Isabel SL28 COE #13,https://www.coffeereview.com/review/guatemala-finca-santa-isabel-sl28-coe-13/,https://elgran.cafe/,guatemala-finca-santa-isabel-sl28-coe-13
Kahiko Orange,https://www.coffeereview.com/review/kahiko-orange/,http://bit.ly/2oBDGmP,kahiko-orange
Kenya Washed Yara Estate PB TOP,https://www.coffeereview.com/review/kenya-washed-yara-estate-pb-top/,http://www.kakalovecafe.com.tw/,kenya-washed-yara-estate-pb-top
Kona Orange,https://www.coffeereview.com/review/kona-orange/,http://bit.ly/2oBDGmP,kona-orange
Colombia Wilton Benitez Sudan Rume,https://www.coffeereview.com/review/colombia-wilton-benitez-sudan-rume/,https://utopiancoffee.com/,colombia-wilton-benitez-sudan-rume
Ethiopia Washed Gute 74110 Lot JH,https://www.coffeereview.com/review/ethiopia-washed-gute-74110-lot-jh/,http://www.kakalovecafe.com.tw/,ethiopia-washed-gute-74110-lot-jh
Ethiopia Natural Sidama Bura Karamo 74158,https://www.coffeereview.com/review/ethiopia-natural-sidama-bura-karamo-74158/,http://www.kakalovecafe.com.tw/,ethiopia-natural-sidama-bura-karamo-74158
Taiwan Honey Alishan Ming Yang Yuan Gesha,https://www.coffeereview.com/review/taiwan-honey-alishan-ming-yang-yuan-gesha/,http://www.kakalovecafe.com.tw/,taiwan-honey-alishan-ming-yang-yuan-gesha
Kenya Washed Kiambu AB TOP Lot Yerihar,https://www.coffeereview.com/review/kenya-washed-kiambu-ab-top-lot-yerihar/,http://www.kakalovecafe.com.tw/,kenya-washed-kiambu-ab-top-lot-yerihar
Kenya Ibonia Estate,https://www.coffeereview.com/review/kenya-ibonia-estate/,https://roadmapcoffeeworks.com/,kenya-ibonia-estate
Ethiopia Worka Sakaro,https://www.coffeereview.com/review/ethiopia-worka-sakaro-2/,https://roadmapcoffeeworks.com/,ethiopia-worka-sakaro-2
Guatemala Washed Huehuetenango Joya Verde,https://www.coffeereview.com/review/guatemala-washed-huehuetenango-joya-verde/,http://www.kakalovecafe.com.tw/,guatemala-washed-huehuetenango-joya-verde
Ethiopia Washed Guji Uraga Tebe Burka,https://www.coffeereview.com/review/ethiopia-washed-guji-uraga-tebe-burka/,http://www.kakalovecafe.com.tw/,ethiopia-washed-guji-uraga-tebe-burka
Colombia Decaf Granja Paraiso 92,https://www.coffeereview.com/review/colombia-decaf-granja-paraiso-92/,http://www.kakalovecafe.com.tw/,colombia-decaf-granja-paraiso-92
Ethiopia Natural Sidama ALO Village SKY Project FL,https://www.coffeereview.com/review/ethiopia-natural-sidama-alo-village-sky-project-fl/,http://www.kakalovecafe.com.tw/,ethiopia-natural-sidama-alo-village-sky-project-fl
Taiwan Natural Alishan Chi Tsai Liu Li Ecological Farm,https://www.coffeereview.com/review/taiwan-natural-alishan-chi-tsai-liu-li-ecological-farm/,http://www.kakalovecafe.com.tw/,taiwan-natural-alishan-chi-tsai-liu-li-ecological-farm
Wilton Benitez SL28,https://www.coffeereview.com/review/wilton-benitez-sl28/,https://www.jbccoffeeroasters.com/product-category/coffee/,wilton-benitez-sl28
Kolla Bolcha #6 Ethiopia,https://www.coffeereview.com/review/kolla-bolcha-6-ethiopia/,https://www.jbccoffeeroasters.com/product-category/coffee/,kolla-bolcha-6-ethiopia
Bener Meriah Sumatra,https://www.coffeereview.com/review/bener-meriah-sumatra/,https://www.jbccoffeeroasters.com/product-category/coffee/,bener-meriah-sumatra
Ethiopia Yirgacheffe Hama Honey,https://www.coffeereview.com/review/ethiopia-yirgacheffe-hama-honey/,https://shop.cozyhousecoffee.com/,ethiopia-yirgacheffe-hama-honey
Colombia Finca Santuario Red Bourbon Natural,https://www.coffeereview.com/review/colombia-finca-santuario-red-bourbon-natural/,https://shop.cozyhousecoffee.com/,colombia-finca-santuario-red-bourbon-natural
Ethiopia Yirgacheffe Gutiti Gargari Natural,https://www.coffeereview.com/review/ethiopia-yirgacheffe-gutiti-gargari-natural/,https://shop.cozyhousecoffee.com/,ethiopia-yirgacheffe-gutiti-gargari-natural
130 Blend,https://www.coffeereview.com/review/130-blend/,https://jauntcoffee.com/,130-blend
Fruits Melody,https://www.coffeereview.com/review/fruits-melody/,https://www.coffeeland.com.tw/,fruits-melody
Matriarch,https://www.coffeereview.com/review/matriarch/,https://jauntcoffee.com/,matriarch
Murphinator,https://www.coffeereview.com/review/murphinator/,https://jauntcoffee.com/,murphinator
Taiwan Symphony,https://www.coffeereview.com/review/taiwan-symphony/,https://www.coffeeland.com.tw/,taiwan-symphony
Blue Notes,https://www.coffeereview.com/review/blue-notes/,https://www.coffeeland.com.tw/,blue-notes
Ethiopia Dale,https://www.coffeereview.com/review/ethiopia-wale/,https://speedwellcoffee.com/,ethiopia-wale
